,MAIN WATER HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,19834.557,19834.557,279.522230,0.27210806,260.116,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,279.522230,0.34650936,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,3.4242,3.493087,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,19834.56,19834.56,1.0000,0.34650936,279.522230,55.75,50.01,0.00640786,7.0,122.00,74.93,0.00800000,17.0,0.28311896,140.00,120.20,19.80,0.000,19834.56,-26.9,0.00018338,-26.9,44.99498340,16.0971,71.60,0.00760206,71.60,0.00760206,45.7657,5024.66,0.00,18939.17,18939.17,0.34650936,61.88,52.82,0.00640786,7.9,124.40,73.93,0.00640786,16.3
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,10043.234,8041.168,376.730996,-999.,-999.00,-999.0000,1.05533,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,376.730996,0.46701407,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,Sensible,10219.09,8750.43,1.0175,0.46701407,376.730996,73.90,61.39,0.00885702,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,643.726,9575.37,77.70,0.01271761,68.16,44.99498340,11.9435,71.60,0.00833338,71.60,0.00833338,50.1065,7371.42,0.00,10047.43,7989.80,0.44857054,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,25082.980,25082.980,376.730996,0.34411058,336.623,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,376.730996,0.46701407,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,4.3302,4.417394,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,25082.98,25082.98,1.0000,0.46701407,376.730996,59.84,52.26,0.00666560,7.7,122.00,74.93,0.00800000,17.0,0.35803509,140.00,120.20,19.80,0.000,25082.98,-26.9,0.00018338,-26.9,44.99498340,11.9435,71.60,0.00754482,71.60,0.00754482,45.4283,8124.41,0.00,24769.11,24769.11,0.46701407,61.88,53.29,0.00666560,8.0,122.52,73.73,0.00666560,16.2
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,11375.847,9108.132,426.718519,-999.,-999.00,-999.0000,1.01914,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,426.718519,0.52898104,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,11260.60,9772.03,0.9899,0.52898104,426.718519,74.38,61.46,0.00879393,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,729.140,10531.46,83.06,0.01272282,69.78,44.99498340,10.5444,71.60,0.00833082,71.60,0.00833082,50.0919,8349.34,0.00,11380.59,9049.95,0.50809028,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,27781.610,27781.610,426.718519,0.38113279,375.825,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,426.718519,0.52898104,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,4.7961,4.892653,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,27781.61,27781.61,1.0000,0.52898104,426.718519,61.21,53.03,0.00676863,8.0,122.00,74.93,0.00800000,17.0,0.39655541,140.00,120.20,19.80,0.000,27781.61,-26.9,0.00018338,-26.9,44.99498340,10.5444,71.60,0.00754486,71.60,0.00754486,45.4285,8125.19,0.00,27753.66,27753.66,0.52898104,61.88,53.48,0.00676863,8.1,121.86,73.67,0.00676863,16.2
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,7295.469,5842.197,273.021690,-999.,-999.00,-999.0000,1.00000,1.00000,0.2443,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,273.021690,0.33845097,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,7839.67,5937.47,1.0746,0.33845097,273.021690,73.40,62.35,0.00960060,11.4,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,466.516,7373.15,69.44,0.01270967,65.53,44.99498340,16.4804,72.30,0.00898711,72.30,0.00898711,52.7117,5682.42,0.00,7298.51,5804.92,0.32508471,80.00,67.00,0.01118466,13.2,59.71,58.24,0.01002073,9.7
,MAIN WATER HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,19483.632,19483.632,273.021690,0.26729376,254.957,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,273.021690,0.33845097,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,3.3636,3.431286,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,19483.63,19483.63,1.0000,0.33845097,273.021690,55.37,49.79,0.00637939,7.0,122.00,74.93,0.00800000,17.0,0.27810986,140.00,120.20,19.80,0.000,19483.63,-26.9,0.00018338,-26.9,44.99498340,16.4804,71.60,0.00760201,71.60,0.00760201,45.7654,5023.88,0.00,18546.38,18546.38,0.33845097,61.88,52.76,0.00637939,7.8,124.57,73.94,0.00637939,16.3
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9373.059,7504.589,351.592096,-999.,-999.00,-999.0000,1.07091,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,351.592096,0.43585067,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,Sensible,9729.70,8138.68,1.0380,0.43585067,351.592096,73.46,61.43,0.00897948,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,600.771,9128.93,73.90,0.01271395,66.97,44.99498340,12.7975,71.60,0.00843143,71.60,0.00834625,50.1828,6752.10,0.00,9376.97,7456.65,0.41863786,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,23725.829,23725.829,351.592096,0.32549199,316.881,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,351.592096,0.43585067,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,4.0960,4.178384,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,23725.83,23725.83,1.0000,0.43585067,351.592096,59.00,51.79,0.00660260,7.6,122.00,74.93,0.00800000,17.0,0.33866308,140.00,120.20,19.80,0.000,23725.83,-26.9,0.00018338,-26.9,44.99498340,12.7975,71.60,0.00754466,71.60,0.00754466,45.4273,8121.23,0.00,23265.39,23265.39,0.43585067,61.88,53.17,0.00660260,8.0,122.92,73.76,0.00660260,16.2
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12708.522,10175.145,476.708406,-999.,-999.00,-999.0000,1.02283,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,476.708406,0.59095093,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12574.42,10894.71,0.9894,0.59095093,476.708406,74.25,61.43,0.00879923,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,814.559,11759.86,83.06,0.01272282,69.78,44.99498340,9.4387,71.60,0.00839030,71.60,0.00839030,50.4455,9327.27,0.00,12713.83,10110.15,0.56761284,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,30484.207,30484.207,476.708406,0.41820942,415.156,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,476.708406,0.59095093,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,5.2627,5.368610,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,30484.21,30484.21,1.0000,0.59095093,476.708406,62.29,52.86,0.00642932,7.9,122.00,74.93,0.00800000,17.0,0.43513235,140.00,120.20,19.80,0.000,30484.21,-26.9,0.00018338,-26.9,44.99498340,9.4387,71.59,0.00708029,71.59,0.00708029,42.6748,11727.68,0.00,30734.68,30734.68,0.59095093,61.88,52.86,0.00642932,7.9,121.37,73.12,0.00642932,15.9
,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,8041.094,6437.593,300.752270,-999.,-999.00,-999.0000,1.00000,1.00000,0.2443,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,300.752270,0.37282714,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,8641.77,6553.89,1.0747,0.37282714,300.752270,73.44,62.36,0.00959484,11.4,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,513.900,8127.87,69.44,0.01270967,65.53,44.99498340,14.9608,72.31,0.00904685,72.31,0.00904685,53.0520,6244.30,0.00,8044.45,6396.68,0.35810329,80.00,67.00,0.01118466,13.2,59.70,58.24,0.01001898,9.7
,MAIN WATER HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,20983.084,20983.084,300.752270,0.28786457,277.022,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,300.752270,0.37282714,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,3.6225,3.695356,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,20983.08,20983.08,1.0000,0.37282714,300.752270,56.86,49.60,0.00594153,6.9,122.00,74.93,0.00800000,17.0,0.29951307,140.00,120.20,19.80,0.000,20983.08,-26.9,0.00018338,-26.9,44.99498340,14.9608,71.59,0.00695455,71.59,0.00695455,41.9234,8598.84,0.00,20217.43,20217.43,0.37282714,61.88,51.95,0.00594153,7.6,123.96,73.25,0.00594153,15.9
,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,LIVING_UNIT3_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,10101.111,8087.507,378.901991,-999.,-999.00,-999.0000,1.04043,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,378.901991,0.46970534,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,Sensible,10294.50,8687.12,1.0191,0.46970534,378.901991,73.89,61.53,0.00894461,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,647.436,9647.07,77.70,0.01271761,68.16,44.99498340,11.8751,71.60,0.00843619,71.60,0.00843619,50.7168,7413.79,0.00,10105.33,8035.85,0.45115553,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,LIVING_UNIT3_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,25203.152,25203.152,378.901991,0.34575922,338.475,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,378.901991,0.46970534,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,4.3510,4.438557,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,25203.15,25203.15,1.0000,0.46970534,378.901991,59.90,51.53,0.00626105,7.5,122.00,74.93,0.00800000,17.0,0.35975043,140.00,120.20,19.80,0.000,25203.15,-26.9,0.00018338,-26.9,44.99498340,11.8751,71.59,0.00708004,71.59,0.00708004,42.6733,11723.90,0.00,24900.29,24900.29,0.46970534,61.88,52.54,0.00626105,7.8,122.54,73.24,0.00626105,16.0
,DX COOLING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,LIVING_UNIT1_BACKROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12082.681,9674.062,453.232543,-999.,-999.00,-999.0000,1.01338,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,Fan:OnOff,453.232543,0.56184911,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,11967.44,10295.85,0.9905,0.56184911,453.232543,74.31,61.52,0.00884363,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,774.445,11193.00,83.06,0.01272282,69.78,44.99498340,9.9276,71.60,0.00841608,71.60,0.00841608,50.5985,8867.91,0.00,12087.72,9612.27,0.53966032,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,LIVING_UNIT1_BACKROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,29216.629,29216.629,453.232543,0.40081965,396.769,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,Fan:OnOff,453.232543,0.56184911,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,5.0439,5.145375,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,29216.63,29216.63,1.0000,0.56184911,453.232543,61.81,52.59,0.00639556,7.8,122.00,74.93,0.00800000,17.0,0.41703890,140.00,120.20,19.80,0.000,29216.63,-26.9,0.00018338,-26.9,44.99498340,9.9276,71.59,0.00708025,71.59,0.00708025,42.6746,11727.10,0.00,29336.12,29336.12,0.56184911,61.88,52.79,0.00639556,7.9,121.61,73.15,0.00639556,15.9
,DX COOLING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,LIVING_UNIT2_BACKROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,8026.047,6423.820,299.194412,-999.,-999.00,-999.0000,1.00000,1.00000,0.2443,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_TOPFLOOR,Fan:OnOff,299.194412,0.37089595,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,8629.69,6521.18,1.0752,0.37089595,299.194412,73.44,62.39,0.00961849,11.4,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,511.238,8118.45,69.44,0.01270967,65.53,44.99498340,15.0387,72.31,0.00907133,72.31,0.00907133,53.1941,6212.69,0.00,8029.40,6383.29,0.35624836,80.00,67.00,0.01118466,13.2,59.64,58.21,0.01001409,9.7
,MAIN WATER HEATING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,LIVING_UNIT2_BACKROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,20898.969,20898.969,299.194412,0.28671062,275.794,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_TOPFLOOR,Fan:OnOff,299.194412,0.37089595,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,3.6079,3.680542,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,20898.97,20898.97,1.0000,0.37089595,299.194412,56.78,49.55,0.00593606,6.9,122.00,74.93,0.00800000,17.0,0.29831242,140.00,120.20,19.80,0.000,20898.97,-26.9,0.00018338,-26.9,44.99498340,15.0387,71.59,0.00695432,71.59,0.00695432,41.9220,8596.54,0.00,20123.79,20123.79,0.37089595,61.88,51.94,0.00593606,7.6,124.00,73.25,0.00593606,15.9
,DX COOLING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,LIVING_UNIT3_BACKROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9451.509,7567.401,354.534848,-999.,-999.00,-999.0000,1.05479,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_TOPFLOOR,Fan:OnOff,354.534848,0.43949864,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,Sensible,9828.58,8094.35,1.0399,0.43949864,354.534848,73.46,61.57,0.00907335,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,605.799,9222.78,73.90,0.01271395,66.97,44.99498340,12.6913,71.60,0.00854415,71.60,0.00845282,50.8154,6841.72,0.00,9455.45,7519.06,0.42214177,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN WATER HEATING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Heating:Water,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,LIVING_UNIT3_BACKROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,23887.449,23887.449,354.534848,0.32770924,319.333,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_TOPFLOOR,Fan:OnOff,354.534848,0.43949864,,1.0027,62.4216,8.10512093,159.80,179.60,19.80,579250.74,4.1239,4.206847,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,23887.45,23887.45,1.0000,0.43949864,354.534848,59.09,51.08,0.00620453,7.4,122.00,74.93,0.00800000,17.0,0.34097005,140.00,120.20,19.80,0.000,23887.45,-26.9,0.00018338,-26.9,44.99498340,12.6913,71.59,0.00707977,71.59,0.00707977,42.6717,11719.86,0.00,23442.82,23442.82,0.43949864,61.88,52.44,0.00620453,7.7,122.92,73.28,0.00620453,16.0
