,MAIN FUEL HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,10589.643,10589.643,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,302.564877,0.37507414,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,10589.64,10589.64,1.0000,0.37507414,302.564877,56.96,50.98,0.00663894,7.3,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,10589.64,-26.9,0.00018338,-26.9,44.99498340,14.8712,71.60,0.00776666,71.60,0.00776666,46.7419,5931.11,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9563.615,7657.158,358.740018,-999.,-999.00,-999.0000,1.07385,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,358.740018,0.44471158,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,Sensible,9924.36,8322.52,1.0377,0.44471158,358.740018,73.46,61.40,0.00896411,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,612.985,9311.38,73.90,0.01271395,66.97,44.99498340,12.5425,71.60,0.00842634,71.60,0.00833918,50.1409,6935.78,0.00,9567.61,7608.25,0.42714883,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13617.112,13617.112,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,358.740018,0.44471158,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,13617.11,13617.11,1.0000,0.44471158,358.740018,59.25,52.08,0.00670387,7.7,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13617.11,-26.9,0.00018338,-26.9,44.99498340,12.5425,71.60,0.00763899,71.60,0.00763899,45.9861,9003.43,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,13346.003,10685.548,500.620905,-999.,-999.00,-999.0000,1.03147,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,500.620905,0.62059403,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,13193.12,11503.47,0.9885,0.62059403,500.620905,74.20,61.35,0.00875975,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,855.419,12337.71,83.06,0.01272282,69.78,44.99498340,8.9878,71.60,0.00836838,71.60,0.00836838,50.3154,9795.16,0.00,13351.57,10617.29,0.59608526,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,16141.571,16141.571,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,500.620905,0.62059403,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,16141.57,16141.57,1.0000,0.62059403,500.620905,62.74,53.12,0.00647079,8.0,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,16141.57,-26.9,0.00018338,-26.9,44.99498340,8.9878,71.59,0.00709169,71.59,0.00709169,42.7413,11565.64,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,8733.140,6992.235,327.588166,-999.,-999.00,-999.0000,1.01803,1.00000,0.2442,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,327.588166,0.40609423,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,9358.41,7265.74,1.0716,0.40609423,327.588166,73.48,62.14,0.00944436,11.3,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,559.755,8798.65,69.44,0.01270967,65.53,44.99498340,13.7352,72.31,0.00892445,72.31,0.00892445,52.3373,6788.58,0.00,8736.78,6947.57,0.39005657,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13075.363,13075.363,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,327.588166,0.40609423,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,13075.36,13075.36,1.0000,0.40609423,327.588166,58.07,50.33,0.00604809,7.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13075.36,-26.9,0.00018338,-26.9,44.99498340,13.7352,71.59,0.00698188,71.59,0.00698188,42.0847,8454.04,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,LIVING_UNIT3_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,10449.838,8366.718,391.983066,-999.,-999.00,-999.0000,1.04617,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,391.983066,0.48592128,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,Sensible,10643.15,9022.49,1.0185,0.48592128,391.983066,73.87,61.47,0.00891606,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,669.787,9973.37,77.70,0.01271761,68.16,44.99498340,11.4788,71.60,0.00842311,71.60,0.00842311,50.6392,7669.75,0.00,10454.20,8313.27,0.46673106,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,LIVING_UNIT3_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,16137.837,16137.837,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,391.983066,0.48592128,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,16137.84,16137.84,1.0000,0.48592128,391.983066,60.29,51.77,0.00629848,7.6,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,16137.84,-26.9,0.00018338,-26.9,44.99498340,11.4788,71.59,0.00709145,71.59,0.00709145,42.7398,11561.85,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,LIVING_UNIT1_BACKROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12729.485,10191.929,477.494725,-999.,-999.00,-999.0000,1.02293,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,Fan:OnOff,477.494725,0.59192569,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12595.02,10912.83,0.9894,0.59192569,477.494725,74.25,61.43,0.00879903,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,815.903,11779.12,83.06,0.01272282,69.78,44.99498340,9.4231,71.60,0.00839081,71.60,0.00839081,50.4485,9342.64,0.00,12734.80,10126.82,0.56854910,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,LIVING_UNIT1_BACKROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,16140.989,16140.989,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,Fan:OnOff,477.494725,0.59192569,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,16140.99,16140.99,1.0000,0.59192569,477.494725,62.31,52.88,0.00644068,7.9,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,16140.99,-26.9,0.00018338,-26.9,44.99498340,9.4231,71.59,0.00709166,71.59,0.00709166,42.7410,11565.05,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,LIVING_UNIT2_BACKROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,8705.301,6969.945,326.543872,-999.,-999.00,-999.0000,1.01594,1.00000,0.2442,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_TOPFLOOR,Fan:OnOff,326.543872,0.40479967,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,9331.20,7228.63,1.0719,0.40479967,326.543872,73.48,62.16,0.00945855,11.3,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,557.971,8773.23,69.44,0.01270967,65.53,44.99498340,13.7792,72.31,0.00893898,72.31,0.00893898,52.4218,6767.38,0.00,8708.93,6925.42,0.38881314,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,LIVING_UNIT2_BACKROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13073.096,13073.096,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_TOPFLOOR,Fan:OnOff,326.543872,0.40479967,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,13073.10,13073.10,1.0000,0.40479967,326.543872,58.02,50.31,0.00604491,7.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13073.10,-26.9,0.00018338,-26.9,44.99498340,13.7792,71.59,0.00698166,71.59,0.00698166,42.0834,8451.74,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,LIVING_UNIT3_BACKROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9777.892,7828.720,366.777750,-999.,-999.00,-999.0000,1.06072,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_TOPFLOOR,Fan:OnOff,366.777750,0.45467554,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,Sensible,10161.22,8412.77,1.0392,0.45467554,366.777750,73.45,61.52,0.00904075,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,626.719,9534.50,73.90,0.01271395,66.97,44.99498340,12.2676,71.60,0.00852713,71.60,0.00843887,50.7327,7094.12,0.00,9781.97,7778.71,0.43671929,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN FUEL HEATING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Heating:Fuel,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,LIVING_UNIT3_BACKROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,16133.859,16133.859,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_TOPFLOOR,Fan:OnOff,366.777750,0.45467554,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,Sensible,16133.86,16133.86,1.0000,0.45467554,366.777750,59.51,51.33,0.00624376,7.4,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,16133.86,-26.9,0.00018338,-26.9,44.99498340,12.2676,71.59,0.00709118,71.59,0.00709118,42.7382,11557.81,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.


----------------------------------------------------------------------------------------------------
REPORT:,System Summary
FOR:,Entire Facility
Economizer

,,High Limit Shutoff Control,Minimum Outdoor Air [ft3/min],Maximum Outdoor Air [ft3/min],Return Air Temp Limit,Return Air Enthalpy Limit,Outdoor Air Temperature Limit [F],Outdoor Air Enthalpy Limit [F]
,None,,,,,,,


Demand Controlled Ventilation using Controller:MechanicalVentilation

,,Controller:MechanicalVentilation Name,Outdoor Air Per Person [ft3/min-person],Outdoor Air Per Area [ft3/min-ft2],Outdoor Air Per Zone [ft3/min],Outdoor Air ACH [ACH],Outdoor Air Method,Outdoor Air Schedule Name,Air Distribution Effectiveness in Cooling Mode,Air Distribution Effectiveness in Heating Mode,Air Distribution Effectiveness Schedule Name
,None,,,,,,,,,,


Time Not Comfortable Based on Simple ASHRAE 55-2004

,,Winter Clothes [hr],Summer Clothes [hr],Summer or Winter Clothes [hr]
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,24.00,24.00,24.00
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,24.00,24.00,24.00
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,24.00,24.00,24.00
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,24.00,24.00,24.00
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,24.00,24.00,24.00
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,24.00,24.00,24.00
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,24.00,24.00,24.00
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.00,24.00,0.00
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,23.00,24.00,23.00
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,24.00,24.00,24.00
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.00,24.00,0.00
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,24.00,24.00,24.00
,LIVING_UNIT3_BACKROW_TOPFLOOR,24.00,24.00,24.00
,LIVING_UNIT3_FRONTROW_TOPFLOOR,23.00,24.00,23.00
,LIVING_UNIT1_FRONTROW_TOPFLOOR,24.00,24.00,24.00
,LIVING_UNIT2_BACKROW_TOPFLOOR,0.00,24.00,0.00
,LIVING_UNIT2_FRONTROW_TOPFLOOR,0.00,24.00,0.00
,LIVING_UNIT1_BACKROW_TOPFLOOR,24.00,24.00,24.00
,BREEZEWAY,0.00,0.00,0.00
,ATTIC,0.00,0.00,0.00
,Facility,24.00,24.00,24.00
Aggregated over the RunPeriods for Weather


Time Setpoint Not Met

,,During Heating [hr],During Cooling [hr],During Occupied Heating [hr],During Occupied Cooling [hr]
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT3_BACKROW_TOPFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT3_FRONTROW_TOPFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT1_FRONTROW_TOPFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT2_BACKROW_TOPFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT2_FRONTROW_TOPFLOOR,0.00,0.00,0.00,0.00
,LIVING_UNIT1_BACKROW_TOPFLOOR,0.00,0.00,0.00,0.00
,BREEZEWAY,0.00,0.00,0.00,0.00
,ATTIC,0.00,0.00,0.00,0.00
,Facility,0.00,0.00,0.00,0.00
Aggregated over the RunPeriods for Weather


----------------------------------------------------------------------------------------------------
REPORT:,Outdoor Air Summary
FOR:,Entire Facility
Average Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [ft3],Mechanical Ventilation [ACH],Infiltration [ACH],AFN Infiltration [ACH],Simple Ventilation [ACH]
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.272,0.171,0.000,0.000
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.272,0.150,0.000,0.000
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.272,0.171,0.000,0.000
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.272,0.171,0.000,0.000
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.272,0.150,0.000,0.000
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.272,0.171,0.000,0.000
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.272,0.075,0.000,0.000
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.272,0.054,0.000,0.000
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.272,0.075,0.000,0.000
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.272,0.075,0.000,0.000
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.272,0.054,0.000,0.000
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.272,0.075,0.000,0.000
,LIVING_UNIT3_BACKROW_TOPFLOOR,1.39,2.00,10207.71,0.272,0.171,0.000,0.000
,LIVING_UNIT3_FRONTROW_TOPFLOOR,1.39,2.00,10207.71,0.272,0.171,0.000,0.000
,LIVING_UNIT1_FRONTROW_TOPFLOOR,1.39,2.00,10207.71,0.272,0.171,0.000,0.000
,LIVING_UNIT2_BACKROW_TOPFLOOR,1.39,2.00,10207.71,0.272,0.151,0.000,0.000
,LIVING_UNIT2_FRONTROW_TOPFLOOR,1.39,2.00,10207.71,0.272,0.151,0.000,0.000
,LIVING_UNIT1_BACKROW_TOPFLOOR,1.39,2.00,10207.71,0.272,0.171,0.000,0.000
Values shown for a single zone without multipliers


Minimum Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [ft3],Mechanical Ventilation [ACH],Infiltration [ACH],AFN Infiltration [ACH],Simple Ventilation [ACH]
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.268,0.006,0.000,0.000
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.268,0.006,0.000,0.000
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.268,0.006,0.000,0.000
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.268,0.006,0.000,0.000
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.268,0.006,0.000,0.000
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1.39,2.00,10207.81,0.268,0.006,0.000,0.000
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.268,0.003,0.000,0.000
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.268,0.002,0.000,0.000
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.268,0.003,0.000,0.000
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.268,0.003,0.000,0.000
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1.39,2.00,10207.71,0.268,0.002,0.000,0.000
